iter	Passed	Remaining
355	40502	73040
356	40615	72925
357	40733	72819
358	40847	72706
359	40959	72588
360	41072	72473
361	41184	72356
362	41291	72232
363	41406	72119
364	41519	72005
365	41630	71886
366	41741	71767
367	41849	71644
368	41959	71524
369	42071	71408
370	42188	71299
371	42304	71189
372	42419	71077
373	42549	70992
374	42665	70881
375	42773	70757
376	42880	70633
377	42994	70520
378	43105	70401
379	43217	70284
380	43328	70166
381	43441	70051
382	43552	69934
383	43667	69822
384	43776	69701
385	43883	69577
386	43993	69457
387	44100	69332
388	44216	69223
389	44327	69105
390	44440	68991
391	44550	68872
392	44662	68755
393	44774	68638
394	44885	68522
395	44995	68401
396	45098	68272
397	45211	68158
398	45323	68041
